PubMed ID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39327996,"Impact of Estetrol Combined with Drospirenone on Blood Coagulation and Fibrinolysis in Patients with Endometriosis: A Multicenter, Randomized, Open-Label, Active-Controlled, Parallel-Group Study.",2024-01-01,Foidart JM,"Estetra SRL, Mithra Pharmaceuticals, Liege, Belgium.",Not available
39327792,"Population pharmacokinetic and dose-response models of nepadutant, a selective antagonist of the NK(2) receptors, in infants with colic.",2024-09-26,Jonsson S; Bouchene S; Mazzei P,"Pharmetheus AB, Uppsala, Sweden.; UCB Pharma, Braine l'Alleud, Belgium.",Not available
39327581,Comprehensive analysis of the cerebrospinal fluid and serum metabolome in neurological diseases.,2024-09-26,Bold T; Regler A; Strathmeyer S; Wittmann J; Heelemann S,"Lifespin GmbH, Am BioPark 13, 93050, Regensburg, Germany.","Department of Neurology, Charite - Universitatsmedizin Berlin, corporate member of Freie Universitat Berlin and Humboldt-Universitat Zu Berlin, Chariteplatz 1, 10117, Berlin, Germany. carolin.otto@charite.de."
39327531,Identification and characterization of human GDF15 knockouts.,2024-01-01,Carrion AM; Tsunoyama K; Shuldiner AR; Rodriguez-Flores JL; Rasheed A,"Astellas Pharma Inc., Ibaraki, Japan.; Tango Therapeutics, Boston, MA, USA.; Yarrow Biotechnology, New York, NY, USA.","Biomedical Research at Novartis, Boston, MA, USA. allan.gurtan@novartis.com."
39327219,Long term safety and efficacy of ligelizumab in the treatment of Japanese patients with chronic spontaneous urticaria.,2025-01-01,Sasajima T; Fujishige A; Ichishita R; Tomimatsu N; Burciu A; Severin T,"Novartis Pharma AG, Basel, Switzerland.; Novartis Pharma K.K., Tokyo, Japan.",Not available
39326921,"Clinical response and on-treatment clinical remission with tezepelumab in a broad population of patients with severe, uncontrolled asthma: results over 2 years from the NAVIGATOR and DESTINATION studies.",2024-01-01,Roseti SL; Hunter G,"Biometrics, Late-stage Development, Respiratory and Immunology, BioPharmaceuticals R&D, AstraZeneca, Cambridge, UK.; Late-stage Development, Respiratory and Immunology, BioPharmaceuticals R&D, AstraZeneca, Gaithersburg, MD, USA.",Not available
39326494,Tocilizumab in combination with standard of care in patients with severe COVID-19 pneumonia: Efficacy and safety from a phase 3 clinical trial in Japan.,2024-09-24,Shiokawa R; Ozaki R; Kawabata N,"Chugai Pharmaceutical Co., Ltd., Tokyo, Japan.","Division of Infectious Diseases, Department of Medicine, St. Luke's International Hospital, Tokyo, Japan. Electronic address: morinob@luke.ac.jp."
39326268,Enhanced stability and reduced irritation of 4-n-butylresorcinol via nanoemulsion formulation: Implications for skin pigmentation treatment.,2024-12-05,Liu J; Li Z,"Bode Intelligent Manufacturing (Guangzhou) Biotechnology Co., Ltd. Guangzhou, Guangdong, 510000, China.; Jining Huanju Pharma Co., Ltd, Jining, Shandong, 272000, China.",Not available
39325356,"Clinical and economic inpatient burden of respiratory syncytial virus (RSV) infections in children < 2 years of age in Germany, 2014-2019: a retrospective health claims analysis.",2024-09-26,Bayer L; Riedel J; Melnik S; Brestrich G; von Eiff C,"Gesundheitsforen Leipzig GmbH, Leipzig, Germany.; Pfizer Pharma GmbH, Berlin, Germany.","Pfizer Pharma GmbH, Berlin, Germany. caroline.lade@pfizer.com."
39325020,Cemiplimab monotherapy in Japanese patients with recurrent or metastatic cervical cancer.,2024-01-01,Li J; Jamil S; Paccaly A; Seebach F; Lowy I; Mathias M; Fury MG,"Regeneron Pharmaceuticals, Inc., Tarrytown, New York, USA.",Not available
39324963,Long-term real-world data of ustekinumab in ulcerative colitis: the Stockholm Ustekinumab Study (STOCUSTE).,2024-12-01,Wennerstrom C; Lordal M,Janssen Cilag AB.,Not available
39324726,Summary of quality of life in the ASCENT phase 3 clinical trial for people with metastatic triple-negative breast cancer.,2024-01-01,Phan S; Shi L; Spears PA,"Evidera PPD, Bethesda, MD, USA.; Gilead Sciences, Inc., Foster City, CA, USA.",Not available
39324510,Longitudinal associations between exercise and biomarkers in autosomal dominant Alzheimer's disease.,2024-01-01,Llibre-Guerra J,"Grupo de Neurociencias de Antioquia, Facultad de Medicina, Universidad de Antioquia, Medellin, Colombia.",Not available
39324405,Neuroprogression happens.,2024-09-26,Vieta E,"Departament de Medicina, Facultat de Medicina i Ciencies de la Salut, Universitat de Barcelona (UB), c. Casanova, 143, 08036 Barcelona, Spain.",Not available
39323431,"A novel self-rating instrument designed for long-term, app-based monitoring of ADHD symptoms: A mixed-methods development and validation study.",2024-01-01,Johansson M,"Takeda Pharma AB, Stockholm, Sweden. RINGGOLD: 385874",Not available
39322961,Assessment of prolonged safety and tolerability of erenumab in migraine patients in a long-term open-label study (APOLLON).,2024-09-25,Schlegel E; Jaeger K; Ortler S; Leist L,"Novartis Pharma GmbH, Nurnberg, Deutschland.; Zentrum fur Neurologisch-Psychiatrische Studien, ZNS GmbH, Siegen, Deutschland.","Schmerzklinik Kiel, Migrane und Kopfschmerzzentrum, Kiel, Deutschland. hg@schmerzklinik.de."
39322711,Epcoritamab in relapsed/refractory large B-cell lymphoma: 2-year follow-up from the pivotal EPCORE NHL-1 trial.,2024-01-01,Dinh MH; Kilavuz N; Soong D; Mark T; Sacchi M; Lugtenburg PJ,"AbbVie, North Chicago, IL, USA.; City of Hope, Duarte, CA, USA.; Genmab, Copenhagen, Denmark.; Genmab, Plainsboro, NJ, USA.","Assistance Publique & Hopitaux de Paris (APHP), Hopital Saint-Louis, Hemato-oncologie, Universite de Paris, Paris, France. catherine.thieblemont@aphp.fr."
39322709,LocoMMotion: a study of real-life current standards of care in triple-class exposed patients with relapsed/refractory multiple myeloma - 2-year follow-up (final analysis).,2024-01-01,Roccia T; Koskinen S; Haddad I; Strulev V; Buyze J; Filho OC,"Janssen Global Services, Raritan, NJ, USA.; Janssen Pharmaceutica NV, Beerse, Belgium.; Janssen-Cilag, Espoo, Finland.; Janssen-Cilag, Issy-les-Moulineaux, France.; Legend Biotech USA Inc, Somerset, NJ, USA.","Hospital Universitario de Salamanca, Instituto de Investigacion Biomedica de Salamanca (IBASL), Centro de Investigacion del Cancer (IBMCC-USAL,CSIC), Salamanca, Spain. mvmateos@usal.es."
39322609,"Impact of metformin, statins, and beta blockers on survival in patients with primary ovarian cancer: combined analysis of four prospective trials of AGO-OVAR and ENGOT/GCIG collaborators.",2024-12-02,Heitz F; Wimberger P,"Gyncology and Obstetrics, Technische Universitat Dresden Medizinische Fakultat Carl Gustav Carus, Dresden, Germany.; Gynecology and Gynocologic Oncology, Kliniken Essen-Mitte, Essen, Germany.","OB/GYN, Hochtaunus Kliniken gGmbH, Bad Homburg vor der Hohe, Germany dominik.denschlag@hochtaunus-kliniken.de."
39322323,Patiromer Facilitates Angiotensin Inhibitor and Mineralocorticoid Antagonist Therapies in Patients With Heart Failure and Hyperkalemia.,2024-10-01,Bahit C; Budden J,"CSL Vifor, Redwood City, California, USA.; INECO Neurociencias Orono, Rosario, Santa Fe, Argentina.","Division of Cardiology, University of Michigan, Ann Arbor, Michigan, USA. Electronic address: bpitt@med.umich.edu."
39322098,An efficient regioconvergent synthesis of 3-aza-obeticholic acid.,2024-01-01,Weymouth-Wilson A,"ICE Pharma, 68 Weld Street, RD2, Palmerston North 4472, New Zealand.",Not available
39321989,Basic Requirements and Framework Conditions of Real-World Data (RWD) on Herbal Medicinal Products.,2024-01-01,Holzle SS; Reineke T; Symma N,"Dr. Willmar Schwabe GmbH & Co. KG, Karlsruhe, Germany.; Pharma Deutschland e. V., Bonn, Germany.",Not available
39321115,A real-world study of persistence and adherence to prescription medications in patients with chronic idiopathic constipation in the United States.,2024-01-01,Lu M; Terasawa E; Ayyagari R; Du S; Pi S; Westermeyer B; Terreri B; Boules M; Moshiree B,"Analysis Group, Inc., Boston, MA.; Analysis Group, Inc., New York City, NY.; Now with Ironwood Pharmaceuticals, Boston, MA.; Takeda Pharmaceuticals USA, Inc., Lexington, MA.",Not available
39320884,Myocardial Scarring and Sudden Cardiac Death in Young Patients With Hypertrophic Cardiomyopathy: A Multicenter Cohort Study.,2024-11-01,Spinner J,"Pontificia Universidad Catolica de Chile, Santiago, Chile.",Not available
39320583,Guselkumab in Biologic-Naive Patients with Active Psoriatic Arthritis in Russia: A Post Hoc Analysis of the DISCOVER-1 and -2 Randomized Clinical Trials.,2024-01-01,Vasilchenkov D; Sharaf M; Deodhar A,"Janssen-Cilag, Issy-Les-Moulineaux, France.; Johnson & Johnson LLC, Moscow, Russian Federation.","Department of Rheumatology Research, Swedish Medical Center/Providence St. Joseph Health, and University of Washington, 601 Broadway, Ste 600, Seattle, WA, 98122, USA. pmease@philipmease.com."
39320326,Drug Repurposing Patent Applications: April-June 2024.,2024-01-01,Mucke HAM,"H. M. Pharma Consultancy, Wien, Austria.",Not available
39320292,Asymptomatic vs Symptomatic Hypotension With Sacubitril/Valsartan in Heart Failure and Reduced Ejection Fraction in PARADIGM-HF.,2024-10-29,Lefkowitz MP,"Novartis, East Hanover, New Jersey, USA.",Not available
39320017,Reversibility of cognitive worsening observed with BACE inhibitor umibecestat in the Alzheimer's Prevention Initiative (API) Generation Studies.,2024-01-01,Ricart J; Caputo A,"Amgen Inc., Cambridge, Massachusetts, USA.; Global Business Solutions, Neuroscience, Novartis Ireland Ltd, Dublin, Ireland.",Not available
39319513,Home- vs Office-Based Narrowband UV-B Phototherapy for Patients With Psoriasis: The LITE Randomized Clinical Trial.,2024-12-01,Nehal US; Schaecher KL,"Patient advocate and LITE study stakeholder committee member, Atlanta, Georgia.; Patient advocate and LITE study stakeholder committee member, Melbourne, Florida.",Not available
39319469,"Sacubitril/Valsartan in Pediatric Heart Failure (PANORAMA-HF): A Randomized, Multicenter, Double-Blind Trial.",2024-11-26,Solar-Yohay S; Garito T; Kocun M,"Novartis Pharma AG, Basel, Switzerland (T.G.).; Novartis Pharmaceuticals Corporation, East Hanover, NJ (S.S.-Y., M.K.).",Not available
39319267,"Association of inflammatory cytokines with lung function, chronic lung diseases, and COVID-19.",2024-10-18,Jalkanen S,"Fimlab Laboratories, Tampere, Finland.",Not available
39319046,"AERIFY-1/2: two phase 3, randomised, controlled trials of itepekimab in former smokers with moderate-to-severe COPD.",2024-01-01,Nivens MC; Djandji M; Soler X; Liu Y; Kosloski MP; Xu CR; Amin N; Staudinger H; Lederer DJ; Abdulai RM,"Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA.; Sanofi, Amsterdam, Netherlands.; Sanofi, Bridgewater, NJ, USA.; Sanofi, Cambridge, MA, USA.; Sanofi, Chilly-Mazarin, France.",Not available
39318788,"Efficacy and safety of therapeutic alpha-1-microglobulin RMC-035 in reducing kidney injury after cardiac surgery: a multicentre, randomised, double-blind, parallel group, phase 2a trial.",2024-01-01,Burkert J,"Fakultni Nemocnice v Motole, Prague, Czech Republic.",Not available
39318699,"Standardized assessment of evidence supporting the adoption of mobile health solutions: A Clinical Consensus Statement of the ESC Regulatory Affairs Committee: Developed in collaboration with the European Heart Rhythm Association (EHRA), the Association of Cardiovascular Nursing & Allied Professions (ACNAP) of the ESC, the Heart Failure Association (HFA) of the ESC, the ESC Young Community, the ESC Working Group on e-Cardiology, the ESC Council for Cardiology Practice, the ESC Council of Cardio-Oncology, the ESC Council on Hypertension, the ESC Patient Forum, the ESC Digital Health Committee, and the European Association of Preventive Cardiology (EAPC).",2024-01-01,Neubeck L,"Late CVRM, Biopharmaceuticals R&D, Astrazeneca, Boston MA, USA.",Not available
39317850,"Pharmacokinetics, Safety, and Immunogenicity of a Biosimilar of Nivolumab (LY01015): A Randomized, Double-Blind, Parallel-Controlled Phase I Clinical Trial in Healthy Chinese Male Subjects.",2024-01-01,Song H; Li X; Zhou M; Xie J; Deng K,"Shandong Boan Biotechnology Co. Ltd, Luye Life Sciences Group, Beijing, China.",Not available
39317418,Clinical information on imaging referrals for suspected or known axial spondyloarthritis: recommendations from the Assessment of Spondyloarthritis International Society (ASAS).,2024-11-14,Baraliakos X,"Rheumatology, Instituto de Rehabilitacion Psicofisica, Buenos Aires, Argentina.","Department of Radiology, Freie Universitat Berlin, Berlin, Germany torsten.diekhoff@charite.de."
39317417,"EULAR/PReS recommendations for the diagnosis and management of Still's disease, comprising systemic juvenile idiopathic arthritis and adult-onset Still's disease.",2024-11-14,Minoia F,"Universita Campus Bio-Medico di Roma Facolta Dipartimentale di Medicina e Chirurgia, Roma, Italy.","Rheumatology, CEREMAIA Reference Center (ERN RITA) , Sorbonne Universite - AP-HP, Pitie-Salpetriere Hospital, Paris, France bruno.fautrel@aphp.fr."
39317414,Systemic juvenile idiopathic arthritis and adult-onset Still's disease are the same disease: evidence from systematic reviews and meta-analyses informing the 2023 EULAR/PReS recommendations for the diagnosis and management of Still's disease.,2024-11-14,De Matteis A; De Benedetti F; Carmona L,"Division of Rheumatology, IRCCS Ospedale Pediatrico Bambino Gesu, Rome, Italy.; Instituto de Salud Musculoesqueletica (INMUSC), Madrid, Spain.",Not available
39316932,Duration of immunotherapy in dMMR/MSI-H metastatic colorectal cancer patients.,2024-01-01,Andre T,"Sorbonne Universite, Hopital Saint Antoine, Assistance Publique Hopitaux de Paris, France; Unite Mixte de Recherche Scientifique 938, and SIRIC CURAMUS, Paris, France.","Tel-Aviv University, Tel-Aviv, Israel. Electronic address: Ofer.margalit@sheba.health.gov.il."
39316411,A framework for translating tauopathy therapeutics: Drug discovery to clinical trials.,2024-01-01,Beher D; Diaz K; Ewen C; Gonzalez MI; Hoffman BJ; Rabinovici GD; Kim DY; May PC; Rommel A,"ADvantage Neuroscience Consulting LLC, Fort Wayne, Indiana, USA.; Asceneuron, Lausanne, Switzerland.; Berry Consultants, Austin, Texas, USA.; Biogen, Cambridge, Massachusetts, USA.; CurePSP, New York, New York, USA.; Denali Therapeutics, South San Francisco, California, USA.; Drug Discovery and Development Consultants, Cambridge, UK.; Origami Therapeutics, San Diego, California, USA.; UCB Pharma, Slough, UK.",Not available
39316358,Secukinumab in the Treatment of Psoriasis: A Narrative Review on Early Treatment and Real-World Evidence.,2024-01-01,Palazzo G; Potenza C,"Dipartimento di Scienze e Biotecnologie Medico-Chirurgiche, Facolta di Farmacia e Medicina, Sapienza Universita di Roma - Polo Pontino, 00185, Latina, Italy.; Ospedale Distrettuale di Tinchi, Azienda Sanitaria di Matera, 75015, Pisticci, Italy.",Not available
39316357,Comprehensive Codified Algorithms to Identify the Underestimated Burden of Hidradenitis Suppurativa in the United States.,2024-01-01,Geissbuhler Y; Darcy J 2nd; Foley S; Gaffney A; McConnon A; Richardson C,"Novartis Ireland Ltd, Dublin, Ireland.; Novartis Pharma AG, Basel, Switzerland.; Novartis Pharmaceuticals Corporation, East Hanover, NJ, US.","Department of Dermatology and Academic Wound Healing, Division of Infection and Immunity, Cardiff University, Cardiff, UK. ingramjr@cardiff.ac.uk."
39316284,Safety of Co-Crystal of Tramadol-Celecoxib (CTC) in Patients with Acute Moderate-to-Severe Pain: Pooled Analysis of Three Phase 3 Randomized Trials.,2024-01-01,Morte A; Vaque A; Cebrecos J; Sust M; Gimenez-Arnau JM,"ESTEVE Pharmaceuticals S.A., Barcelona, Spain.","Department of Anesthesiology, Sidney Kimmel Medical College, Thomas Jefferson University, 111 South Eleventh Street, Suite 8290, Philadelphia, PA, 19107, USA. Eugene.Viscusi@jefferson.edu."
39314957,"Neuronal alpha-Synuclein Disease Integrated Staging System performance in PPMI, PASADENA, and SPARK baseline cohorts.",2024-09-10,Dam T; Pagano G; Concha-Marambio L; Kieburtz K; Tolosa E,"Amprion Inc., San Diego, CA, USA.; Biogen, Boston, MA, USA.; Denali Therapeutics Inc., South San Francisco, CA, USA.; F. Hoffmann-La Roche Ltd., Basel, Switzerland.",Not available
39313594,Molecular profiling of BRAF-V600E-mutant metastatic colorectal cancer in the phase 3 BEACON CRC trial.,2024-01-01,Murphy DA; Pu J; Saffari H; Zhang X; Hamilton P; Xie T,"Pfizer, La Jolla, CA, USA.; Pfizer, New York, NY, USA.; Pfizer, South San Francisco, CA, USA.","University of Texas MD Anderson Cancer Center, Houston, TX, USA. SKopetz@mdanderson.org."
39313500,Large B-cell lymphomas with CCND1 rearrangement have different immunoglobulin gene breakpoints and genomic profile than mantle cell lymphoma.,2024-09-23,Ozogul E; Pol M; Frigola G; Balague O; Royo R; Buhler MM; Carras S; Valmary-Degano S; Raffeld M; Jaffe ES; Puente XS; Lopez C; Campo E,"Centro de Investigacion Biomedica en Red de Cancer (CIBERONC), Madrid, Spain.; Departamento de Bioquimica y Biologia Molecular, Instituto Universitario de Oncologia (IUOPA), Universidad de Oviedo, 33006, Oviedo, Spain.; Institut d'Investigacions Biomediques August Pi i Sunyer (IDIBAPS), Barcelona, Spain.",Not available
39313395,"Beneficial Effects of a Formulated Supplement of Ascidiacea (Halocynthia-roretzi)-derived Plasmalogen and Tuna-derived Elastin on Memory Function in Elderly Japanese Subjects; A Randomized, Double-blind, Placebo-controlled Study.",2024-10-01,Katsumata M; Kurono M; Matahira Y,"Hagoromo Foods Corporation.; Sunsho Pharmaceutical Co., Ltd.",Not available
39313328,"Absorption, Distribution, Metabolism, and Excretion of Icenticaftor (QBW251) in Healthy Male Volunteers at Steady State and In Vitro Phenotyping of Major Metabolites.",2024-11-15,Huth F; Eggimann F; Hackling M; Leuthold LA; Meissner A; Bebrevska L,"Novartis Pharma AG, Basel, Switzerland (U.G., F.H., F.E., L.A.L., A.M., L.B.) and Novartis Pharmaceuticals Corporation, East Hanover, New Jersey (M.H.).","Novartis Pharma AG, Basel, Switzerland (U.G., F.H., F.E., L.A.L., A.M., L.B.) and Novartis Pharmaceuticals Corporation, East Hanover, New Jersey (M.H.) ulrike.glaenzel@novartis.com."
39313302,Bimekizumab provided rapid improvements in patient-reported symptoms and health-related quality of life in patients with active psoriatic arthritis: pooled 16-week results from two phase 3 studies.,2024-09-23,Gladman DD,"UCB, Morrisville, North Carolina, USA.","Department of Rheumatic and Immunologic Diseases, Cleveland Clinic, Cleveland, Ohio, USA husnie@ccf.org."
39313297,Dynamic changes in TP53 mutated circulating tumor DNA predicts outcome of patients with high-grade ovarian carcinomas.,2024-11-04,Marzac C; Rouleau E; Leary A,"Inivata Ltd, Cambridge, UK.; Universite Paris-Saclay, Gif-sur-Yvette, France.","Medical Oncology Department, Institut Gustave-Roussy, Villejuif, Ile-de-France, France kfourym@ipc.unicancer.fr."
39313275,In vivo cardiovascular profile of ryanodine receptor 2 inhibitor M201-A: Utility as an anti-atrial fibrillatory drug for patients suffering from heart failure with preserved ejection fraction.,2024-01-01,Shinozaki M; Iwata K; Kaneko N,"Aetas Pharma Co., Ltd, 1-7 Kanda-Ogawamachi, Chiyoda-ku, Tokyo, 101-0052, Japan; Aetas Pharma Co., Ltd, 1-7 Kanda-Ogawamachi, Chiyoda-ku, Tokyo, 101-0052, Japan.; Department of Medicine, Dokkyo Medical University, 880 Kitakobayashi, Mibu, Shimotsugagun, Tochigi, 321-0293, Japan.; Department of Pharmacology, Faculty of Medicine, Toho University, 5-21-16 Omori-nishi, Ota-ku, Tokyo, 143-8540, Japan",Not available
39313274,Effect of antiemetics on zolbetuximab-induced gastric injury and emesis in ferrets.,2024-01-01,Haggerty G; Nakazawa T,"Immuno-Oncology, Astellas Pharma, Inc., Tsukuba, Ibaraki, Japan.; Translational Science & Development Toxicology - Applied Safety, Astellas Pharma US, Inc., Northbrook, IL, USA.","Research Program Management - Applied Research Management, Applied Research & Operations, Astellas Pharma, Inc., Tsukuba, Ibaraki, Japan. Electronic address: fumitaka.kinugasa@astellas.com."
39313156,"Acquired gene alterations in patients treated with ribociclib plus endocrine therapy or endocrine therapy alone using baseline and end-of-treatment circulating tumor DNA samples in the MONALEESA-2, -3, and -7 trials.",2025-01-01,Solovieff N; Su F; Chia S; Joshi M; Chakravartty A; Lteif A; Taran T,"British Columbia Cancer Agency, Vancouver, Canada.; Novartis Pharma AG, Basel, Switzerland.; Novartis Pharmaceuticals Corporation, Cambridge.; Novartis Pharmaceuticals Corporation, East Hanover.","Department of Medical Oncology, Institut Gustave Roussy, Villejuif, France. Electronic address: Carlos.Arteaga@UTSouthwestern.edu."
39312922,Sexual health-related psychological and emotional life after allogeneic haematopoietic stem-cell transplantation.,2024-01-01,Alasadi L; Linke A; Chalandon Y,"EBMT Patient Advocacy Committee, EBMT Executive Office, Barcelona, Spain.; Faculte de Medicine, Universite Paris-Saclay, Paris, France.; Faculty of Medicine, University of Geneva, Geneva, Switzerland.; Hopitaux Universitaires de Geneve, Departement d'Oncologie, Service d'Hematologie, Geneva, Switzerland; INSERM, U1193, Hopital Universitaire Paul-Brousse, Paris, France","INSERM, Unite Mixte de Recherche 938, Paris, France. Electronic address: dr.tameem.soliman@gmail.com."
39312920,"Venetoclax plus decitabine as a bridge to allogeneic haematopoietic stem-cell transplantation in older patients with acute myeloid leukaemia (VEN-DEC GITMO): final report of a multicentre, single-arm, phase 2 trial.",2024-01-01,Bernardi S; Santarone S; Carella AM; Martino M; Alati C; Beltrami G; Curti A; Giaccone L; Leoni A; Garuffo L,"Centro Trapianti Midollo Osseo, Azienda Sanitaria Locale di Pescara, Pescara, Italy.; Centro Unico Trapianti, Division of Hematology, Grande Ospedale Metropolitano Bianchi Melacrino Morelli, Reggio Calabria, Italy.; Centro di Ricerca Emato-Oncologica AIL, ASST Spedali Civili di Brescia, Brescia, Italy; Centro di Ricerca Emato-Oncologica AIL, ASST Spedali Civili di Brescia, Brescia, Italy.; Department of Clinical and Experimental Science, University of Brescia, ASST Spedali Civili di Brescia, Brescia, Italy; IRCCS Azienda Ospedaliero-Universitaria di Bologna, Istituto di Ematologia Seragnoli, Bologna, Italy.; IRCCS Ospedale Casa Sollievo della Sofferenza, Foggia, Italy.; National Center for Gene Therapy and Drug based on RNA Technology, Padova, Italy.; UO Ematologia e Terapie Cellulari, IRCCS Azienda Ospedaliera Universitaria San Martino, Genova, Italy.; Univesity of Torino, AOU Citta Della Salute E Della Scienza Di Torino, Torino, Italy.","Department of Clinical and Experimental Science, University of Brescia, ASST Spedali Civili di Brescia, Brescia, Italy. Electronic address: domenico.russo@unibs.it."
39312412,Use of the Novel Site-Directed Enzyme Enhancement Therapy (SEE-Tx) Drug Discovery Platform to Identify Pharmacological Chaperones for Glutaric Acidemia Type 1.,2024-10-10,Goebel I; Martinell M; Barril X; Cubero E; Gersting SW,"Gain Therapeutics Sucursal en Espana, Parc Cientific de Barcelona, Barcelona 08028, Spain.; Minoryx Therapeutics S.L., Tecno Campus Mataro-Maresme, Mataro, Barcelona 08302, Spain.; Pharmaceutical Development Biologicals, Boehringer Ingelheim Pharma GmbH & Co. KG, Biberach an der Riss 88397, Germany.","University Children's Research, UCR@Kinder-UKE, University Medical Center Hamburg-Eppendorf, Hamburg 20246, Germany."
39311947,"Phase I-II study of OBI-888, a humanized monoclonal IgG1 antibody against the tumor-associated carbohydrate antigen Globo H, in patients with advanced solid tumors.",2024-01-01,Xu D; Saville MW,"OBI Pharma USA, Inc, San Diego, CA, USA.","Department of Investigational Cancer Therapeutics, Katherine Russell Dixie Distinguished Endowed Professor, The University of Texas MD Anderson Cancer Center, Unit 455, 1515 Holcombe Boulevard, Houston, TX, 77030, USA. atsimber@mdanderson.org."
39311372,FAMS-A Targeted Fatty Acid Mass Spectrometry Method for Monitoring Free Fatty Acids from Polysorbate Hydrolysis.,2024-09-07,Bathke A; Hoelterhoff S; Wendler J; Yuk IH; Bell CH,"Pharma Technical Development, F. Hoffmann-La Roche, Grenzacherstrasse 124, 4070 Basel, Switzerland.; Pharma Technical Development, Genentech, 1 DNA Way, South San Francisco, CA 94080, USA.",Not available
39310726,Economic Evaluation of a Novel Treatment of Attention-Deficit/Hyperactivity Disorder in US Motor Vehicle Drivers.,2024-01-01,Potenziano J; Fam DS,"Tris Pharma, Inc., South Brunswick, New Jersey, USA.",Not available
39310372,World Allergy Organization (WAO) Diagnosis and Rationale for Action against Cow's Milk Allergy (DRACMA) guideline update - XI - Milk supplement/replacement formulas for infants and toddlers with CMA - Systematic review.,2024-01-01,Galli E; Papadopoulos NG,"Clinique Marcel Sembat, Ramsay Group, Boulogne-Billancourt, France.; Evidence Prime Inc., Krakow, Poland.",Not available
39309750,Comparison of blended e-learning and face-to-face-only education for resuscitation training in German schools - A cluster randomized-controlled prospective study.,2024-01-01,Bottiger BW,"L2R GmbH, Cliev 4, 51515 Kuerten, Germany.",Not available
39309723,Supportive care 2030 movement: towards unifying ambitions for global excellence in supportive cancer care-an international Delphi study.,2024-01-01,Bossi P,"Fondazione IRCCS San Gerardo dei Tintori, Monza, Italy.",Not available
39309477,Does Comorbid Food Allergy Affect Response to Omalizumab in Patients with Asthma?,2024-01-01,Raut P; Cameron B,"Genentech Inc., South San Francisco, CA, USA.",Not available
39308778,"More or less ""modest"" versus significant excess mortality due to COVID-19 deaths in Europe.",2024-01-01,Lumbreras S; Fernandez E,"Centro de Investigacion Biomedica en Red de Enfermedades Respiratorias (CIBERES), Instituto de Salud Carlos III, Madrid, Spain.",Not available
39308371,Interatrial Shunt Treatment for Heart Failure: The Randomized RELIEVE-HF Trial.,2024-12-10,Abraham WT,"V-Wave Ltd, Caesarea, Israel (N.L.E.).",Not available
39308141,The Immune-Related 27-Gene Signature DetermaIO Predicts Response to Neoadjuvant Atezolizumab plus Chemotherapy in Triple-Negative Breast Cancer.,2024-11-01,Seitz RS; Nielsen TJ; Russo S; Schweitzer BL; Ross DT; Greil R; Mariani G; Pusztai L; Bianchini G,"Azienda Sanitaria Universitaria Friuli Centrale, Udine, Italy.; Department of Internal Medicine III, Paracelsus Medical University Salzburg, Salzburg Cancer Research Institute-CCCIT; IEO, Istituto Europeo di Oncologia IRCCS, Milan, Italy.; Oncocyte Corp., Irvine, California.; and Cancer Cluster Salzburg, Salzburg, Austria.",Not available
39308116,Stakeholders' Perspectives on Current Issues in Data Monitoring Committees.,2024-01-01,May E; Mutze T,"Analytics, Novartis Pharma AG, Basel, Switzerland.; ICON PLC, Reading, UK.",Not available
39308047,Dodecafluoropentane emulsion as an oxygen therapeutic.,2024-01-01,Johnson JLH; Unger E,"NuvOx Pharma, Tucson, AZ, USA.",Not available
39308028,Acalabrutinib alone or in combination with rituximab for follicular lymphoma: An open-label study.,2024-01-01,Miller K,"AstraZeneca, South San Francisco, California, USA.",Not available
39307151,"Safety and efficacy of evobrutinib in relapsing multiple sclerosis (evolutionRMS1 and evolutionRMS2): two multicentre, randomised, double-blind, active-controlled, phase 3 trials.",2024-01-01,Le Bolay C; Shen Loo L; Tenenbaum N,"EMD Serono, an affiliate of Merck KGaA, Billerica, MA, USA.; Merck Sante, an affiliate of Merck KGaA, Lyon, France.","Department of Neurology, Centre d'Esclerosi Multiple de Catalunya, Hospital Universitario Vall d'Hebron, Barcelona, Spain. Electronic address: xavier.montalban@cem-cat.org."
39307144,"Safety and efficacy of rodatristat ethyl for the treatment of pulmonary arterial hypertension (ELEVATE-2): a dose-ranging, randomised, multicentre, phase 2b trial.",2024-01-01,Parsley E; Marmon T; Kamau-Kelley W; Jones R; Grewal R; Wring S; Palacios M; Naik H; Denning J; Lazarus HM,"Bellerophon Therapeutics, Warren, NJ, USA.; Marmon Biostatistics, Seattle, WA, USA.; Sumitomo Pharma America (formerly Enzyvant), Morrisville, NC, USA.; Sumitovant Biopharma, Boston, MA, USA.",Not available
